age_resp,asset_value,bank,base_age,busia,child,child_age,child_female,connected,connected_r,connected_rate,educ,electric_lighting,emi,energy_spending,energyspending,female,fraction_employed_all,gridelec_spending,hhid,hours_worked,housing,iron,kerosene_spending,knowledge_index,life_index,market,metered,mobilephone,moved,nemi,number_appliances,percapcons,population,r_crime_index,radio,reppid,round2,sibs,siteno,solar_shs,st_score_kcpe,st_studenttest,survey,symptoms_index,television,tot_hh_month_earn,transearly,treat_full,treat_low,treat_med,treated_all
40,1818.665,0,37,0,0,,,1,,5.3333335,0,1,-.93651944,3.4734993,7.7975235,1,0,.63154531,12,63,-.57668519,1,0,,-1.0108516,0,,1,0,.29846141,2,63.115063,404,.58609635,0,1104.12,1,6,1104,0,,,24oct2017,1.2070386,0,.82890326,0,0,0,1,1
77,872.47351,0,74,0,0,,,0,,5.3333335,0,0,-.29347989,21.517653,3.4114168,0,0,0,14,60,-.57668519,0,10.149836,,-1.0108516,0,,1,0,-.87973899,2,205.45433,404,-.26507324,1,1104.14,1,2,1104,0,,,24oct2017,-.17825466,0,11.367816,0,0,0,1,1
50,1092.5388,0,47,0,0,,,0,,5.3333335,0,0,-.45391747,12.179802,31.677441,0,50,0,16,57,-.57668519,0,6.089901,,-1.0108516,0,,1,0,.055197351,2,62.878231,404,.58609635,1,1104.16,1,6,1104,0,,,24oct2017,.74527425,0,1.5393918,0,0,0,1,1
61,194.02966,0,58,0,0,,,0,,5.3333335,0,0,-.37640131,12.179804,2.4367263,1,0,0,17,80,-.57668519,0,10.149836,,.060736455,0,,1,0,-.31521121,1,237.63472,404,-.26507324,0,1104.17,1,2,1104,0,,,24oct2017,-.17825466,0,5.9207373,0,0,0,1,1
59,382.41663,0,56,0,0,,,0,,5.3333335,0,0,.7479822,2.0299671,2.4367263,1,100,0,18,74,-.57668519,0,.81198686,,.060736455,0,,0,0,-.11006705,0,254.07069,404,.58609635,0,1104.18,1,0,1104,0,,,24oct2017,-.64001912,0,9.0468864,0,0,0,1,1
37,1733.1667,0,28,0,0,,,0,,5.3333335,0,0,2.9799695,8.5258617,8.2848701,0,100,0,21,60,-.57668519,0,3.6539409,,-1.3680476,0,,1,0,.11028548,3,481.90067,404,.58609635,1,1104.21,1,0,1104,0,,,29nov2017,1.2070386,1,189.46359,0,0,0,1,1
65,504.21313,0,62,0,0,,,0,,5.3333335,0,0,.38015687,0,7.3101792,0,0,0,23,52,-.57668519,0,0,,-1.3680476,0,,0,0,-1.8356404,0,996.57855,404,-3.1076648,0,1104.23,1,0,1104,0,,,24oct2017,1.2070386,0,0,0,0,0,1,1
84,1053.5349,1,82,0,0,,,0,,5.3333335,0,0,-.4955228,3.6539409,10.234251,0,0,0,24,80,-.57668519,0,2.0299673,,-1.3680476,0,,1,0,-.33812276,2,76.543297,404,-.26507324,1,1104.24,1,0,1104,0,,,24oct2017,1.2070386,0,0,0,0,0,1,1
41,1054.4258,1,32,0,0,,,0,,5.3333335,1,0,1.0722834,1.6239737,21.443193,0,50,0,25,65,-.57668519,1,0,,.060736455,0,,1,0,-.5597558,4,191.83189,404,-3.1728508,1,1104.25,1,2,1104,1,,,24oct2017,-.64001912,1,108.94157,0,0,0,1,1
43,2846.1646,0,28,0,0,,,1,,5.3333335,0,1,1.68259,59.545704,7.3101792,0,25,11.241507,26,80,-.66418463,0,2.4359605,,-.65365559,0,,1,0,-.97234702,7,707.03754,404,-2.1833513,1,1104.26,1,4,1104,0,,,24oct2017,1.2070386,1,7.5785441,0,0,0,1,1
58,1144.3131,0,52,0,0,,,0,,5.3333335,0,0,-.90691334,5.683908,2.1930537,1,0,0,28,51,1.6232474,0,5.683908,,.060736455,0,,1,0,-.59599513,1,43.684895,404,-2.1833513,0,1104.28,1,4,1104,0,,,24oct2017,1.2070386,0,0,0,0,0,1,1
34,1705.1841,0,41,0,0,,,0,,5.3333335,0,0,1.0546631,44.659275,16.569738,1,50,0,30,80,-.57668519,0,5.683908,,-1.0108516,0,,1,0,-2.4584026,3,237.53999,404,-1.7754387,1,1104.30,1,4,1104,0,,,24oct2017,-1.1017835,0,39.471581,0,0,0,1,1
