Experiment,Period,Subject,Value,BidC3_o,,BidNC,Market,BidC3,BidC6,Ncont,Size6,Vh,BidC6
4,10,4,17.23,13,.,14,0,13,15.23,0,0,30,15.23
4,10,5,3.34,3,.,3,1,3,3,0,0,30,3
4,10,6,29.72,26,.,27,0,26,27,0,0,30,27
4,11,1,21.96,19.01,.,16.96,2,19.01,19.96,1,1,30,19.96
4,11,2,13.7,11,.,11.5,2,11,12,1,1,30,12
4,11,3,1.25,0.5,.,0.6,2,0.5,0.75,1,1,30,0.75
4,11,4,3.95,2.7,.,2.75,2,2.7,3.7,1,1,30,3.7
4,11,5,21.7,20.05,.,20.05,2,20.05,20.05,1,1,30,20.05
4,11,6,24.89,22,.,23,2,22,23,1,1,30,23
4,12,1,11.04,3.33,.,6.66,2,3.33,9.33,0,1,30,9.33
4,12,2,4.51,2.25,.,2.75,2,2.25,3,0,1,30,3
4,12,3,11.05,6.05,.,8.05,2,6.05,10.05,0,1,30,10.05
4,12,4,26.27,18.77,.,21.07,2,18.77,22.07,0,1,30,22.07
4,12,5,15.23,14.5,.,14.5,2,14.5,14.5,0,1,30,14.5
4,12,6,18.07,16,.,17.07,2,16,17.07,0,1,30,17.07
4,13,1,27.99,23.23,.,24,2,23.23,23.86,0,1,30,23.86
4,13,2,29.28,24.28,.,25,2,24.28,25.28,0,1,30,25.28
4,13,3,25.58,20.58,.,19,2,20.58,21,0,1,30,21
4,13,4,12.64,10.04,.,10.64,2,10.04,11.04,0,1,30,11.04
4,13,5,2.62,2.5,.,2.5,2,2.5,2.5,0,1,30,2.5
4,13,6,26,24.5,.,24.5,2,24.5,24.5,0,1,30,24.5
4,14,1,5.24,3.33,.,3.24,2,3.33,3.33,1,1,30,3.33
4,14,2,4.61,3.5,.,3.75,2,3.5,4,1,1,30,4
4,14,3,12.85,7.85,.,9.35,2,7.85,10.85,1,1,30,10.85
4,14,4,20.29,15.29,.,16.29,2,15.29,19.09,1,1,30,19.09
4,14,5,23.7,20.7,.,21.2,2,20.7,21.2,1,1,30,21.2
4,14,6,9.96,8.96,.,9,2,8.96,9,1,1,30,9
4,15,1,5.25,3.33,.,3.33,0,3.33,3.33,0,0,30,3.33
4,15,2,6.59,5.5,.,5.75,1,5.5,6,0,0,30,6
4,15,3,28.1,23.1,.,23.85,1,23.1,25.6,0,0,30,25.6
4,15,4,18.61,15.81,.,16.01,1,15.81,16.81,0,0,30,16.81
4,15,5,5.84,5,.,5,0,5,5,0,0,30,5
4,15,6,1.16,1,.,1.06,0,1,1.06,0,0,30,1.06
4,16,1,27.69,24.09,.,21.52,2,24.09,25.69,1,1,30,25.69
4,16,2,25.41,20,.,22,2,20,23,1,1,30,23
4,16,3,22.06,17.06,.,17.81,2,17.06,19.56,1,1,30,19.56
4,16,4,13.46,11.06,.,11.46,2,11.06,13.06,1,1,30,13.06
4,16,5,1.61,1,.,1,2,1,1,1,1,30,1
4,16,6,7.77,7,.,7.27,2,7,7.27,1,1,30,7.27
4,17,1,26.6,22.6,.,23.29,0,22.6,23.23,1,0,30,23.23
